dispatchmatrix run of record

display        :72 (private Xvfb + real i3, started and torn down by the harness)
$mod           Mod4
engines        go = cmd/hotkeyd binary   |   python = hotkeyd.py under python3
table          70 top-level binds + 4 layers, enumerated at run time from binds.py
plan           127 trials
verdict        127/127 identical on both engines, 0 divergences

layer:nav/move|Ctrl+h                          dispatched    dispatched    i3:move left; state:nav/move; state:nav
layer:nav/move|Ctrl+Left                       dispatched    dispatched    i3:move left; state:nav/move; state:nav
layer:nav/move|Ctrl+j                          dispatched    dispatched    i3:move down; state:nav/move; state:nav
layer:nav/move|Ctrl+Down                       dispatched    dispatched    i3:move down; state:nav/move; state:nav
layer:nav/move|Ctrl+k                          dispatched    dispatched    i3:move up; state:nav/move; state:nav
layer:nav/move|Ctrl+Up                         dispatched    dispatched    i3:move up; state:nav/move; state:nav
layer:nav/move|Ctrl+l                          dispatched    dispatched    i3:move right; state:nav/move; state:nav
layer:nav/move|Ctrl+Right                      dispatched    dispatched    i3:move right; state:nav/move; state:nav
layer:nav/resize|Mod1+h                        dispatched    dispatched    i3:resize shrink width 5 px or 5 ppt; state:nav/resize; state:nav
layer:nav/resize|Mod1+Left                     dispatched    dispatched    i3:resize shrink width 5 px or 5 ppt; state:nav/resize; state:nav
layer:nav/resize|Mod1+j                        dispatched    dispatched    i3:resize grow height 5 px or 5 ppt; state:nav/resize; state:nav
layer:nav/resize|Mod1+Down                     dispatched    dispatched    i3:resize grow height 5 px or 5 ppt; state:nav/resize; state:nav
layer:nav/resize|Mod1+k                        dispatched    dispatched    i3:resize shrink height 5 px or 5 ppt; state:nav/resize; state:nav
layer:nav/resize|Mod1+Up                       dispatched    dispatched    i3:resize shrink height 5 px or 5 ppt; state:nav/resize; state:nav
layer:nav/resize|Mod1+l                        dispatched    dispatched    i3:resize grow width 5 px or 5 ppt; state:nav/resize; state:nav
layer:nav/resize|Mod1+Right                    dispatched    dispatched    i3:resize grow width 5 px or 5 ppt; state:nav/resize; state:nav
layer:nav|exit:q                               layer-change  layer-change  state:default
layer:nav|exit:Escape                          layer-change  layer-change  state:default
layer:nav|exit:Return                          layer-change  layer-change  state:default
layer:resize|h                                 dispatched    dispatched    i3:resize shrink width 5 px or 5 ppt
layer:resize|j                                 dispatched    dispatched    i3:resize grow height 5 px or 5 ppt
layer:resize|k                                 dispatched    dispatched    i3:resize shrink height 5 px or 5 ppt
layer:resize|l                                 dispatched    dispatched    i3:resize grow width 5 px or 5 ppt
layer:resize|Left                              dispatched    dispatched    i3:resize shrink width 10 px or 10 ppt
layer:resize|Down                              dispatched    dispatched    i3:resize grow height 10 px or 10 ppt
layer:resize|Up                                dispatched    dispatched    i3:resize shrink height 10 px or 10 ppt
layer:resize|Right                             dispatched    dispatched    i3:resize grow width 10 px or 10 ppt
layer:resize|exit:q                            layer-change  layer-change  state:default
layer:resize|exit:Escape                       layer-change  layer-change  state:default
layer:resize|exit:Return                       layer-change  layer-change  state:default
layer:switcher|Tab                             dispatched    dispatched    run:~/.dotfiles/quickshell/qs-overlay.sh|switcher
layer:switcher|w                               dispatched    dispatched    run:~/.dotfiles/quickshell/qs-overlay.sh|switcher
layer:switcher|ISO_Left_Tab                    dispatched    dispatched    run:~/.dotfiles/quickshell/qs-overlay.sh|switcher-prev
layer:switcher|space                           dispatched    dispatched    run:~/.dotfiles/quickshell/qs-overlay.sh|switcher-cancel; run:~/.dotfiles/quickshell/qs-overlay.sh|switcher-search; state:default
layer:switcher|Escape                          dispatched    dispatched    run:~/.dotfiles/quickshell/qs-overlay.sh|switcher-cancel; run:~/.dotfiles/quickshell/qs-overlay.sh|switcher-cancel; state:default
layer:switcher|Return                          dispatched    dispatched    run:~/.dotfiles/quickshell/qs-overlay.sh|switcher-cancel; run:~/.dotfiles/quickshell/qs-overlay.sh|switcher-confirm; state:default
layer:switcher|exit:q                          layer-change  layer-change  state:default
layer:system|l                                 dispatched    dispatched    run:~/.local/bin/i3exit|lock; state:default
layer:system|e                                 dispatched    dispatched    run:~/.local/bin/i3exit|logout; state:default
layer:system|u                                 dispatched    dispatched    run:~/.local/bin/i3exit|switch_user; state:default
layer:system|s                                 dispatched    dispatched    run:~/.local/bin/i3exit|suspend; state:default
layer:system|h                                 dispatched    dispatched    run:~/.local/bin/i3exit|hibernate; state:default
layer:system|r                                 dispatched    dispatched    run:~/.local/bin/i3exit|reboot; state:default
layer:system|p                                 dispatched    dispatched    run:~/.local/bin/i3exit|shutdown; state:default
layer:system|exit:q                            layer-change  layer-change  state:default
layer:system|exit:Escape                       layer-change  layer-change  state:default
layer:system|exit:Return                       layer-change  layer-change  state:default
precedence:nav|Ctrl+Mod1+h                     dispatched    dispatched    i3:move left; state:nav/move; state:nav
negative|$mod+F12                              silent        silent        (nothing)
